#,Company,Symbol,Weight,Price,Chg,% Chg
438,Jack Henry & Associates,JKHY,0.02%,182.19,1.18,0.65
439,Align Technology,ALGN,0.02%,182.0,1.74,0.97
440,Solventum,SOLV,0.02%,74.97,-0.4,0.53
441,Regency Centers,REG,0.02%,71.14,-0.1,0.15
442,Builders FirstSource,BLDR,0.02%,112.69,-0.67,0.59
443,Camden Property Trust,CPT,0.02%,115.38,-0.36,0.31
444,Universal Health Services,UHS,0.02%,190.01,0.92,0.49
445,Alexandria Real Estate Equities,ARE,0.02%,70.31,0.76,1.09
446,Nordson Corporation,NDSN,0.02%,215.01,1.46,0.68
447,Allegion,ALLE,0.02%,139.63,1.4,1.01
448,Juniper Networks,JNPR,0.02%,35.91,0.09,0.27
449,Healthpeak Properties,DOC,0.02%,17.19,0.11,0.61
450,J.M. Smucker Company (The),SJM,0.02%,110.74,-0.3,0.27
451,Fox Corporation (Class B),FOX,0.02%,49.38,0.08,0.17
452,"BXP, Inc.",BXP,0.02%,73.35,1.54,2.15
453,Fox Corporation (Class A),FOXA,0.02%,53.95,0.11,0.2
454,Franklin Resources,BEN,0.02%,21.97,0.21,0.99
455,C.H. Robinson,CHRW,0.02%,96.02,0.51,0.53
456,Pool Corporation,POOL,0.02%,298.34,-10.11,3.28
457,Mosaic Company (The),MOS,0.02%,35.31,-1.09,2.99
458,Akamai Technologies,AKAM,0.02%,76.88,0.74,0.97
459,Revvity,RVTY,0.02%,92.3,1.8,1.99
460,Host Hotels & Resorts,HST,0.02%,15.63,0.26,1.68
461,Skyworks Solutions,SWKS,0.02%,72.11,1.32,1.87
462,Pinnacle West,PNW,0.02%,89.03,-0.36,0.41
463,Conagra Brands,CAG,0.02%,22.2,-0.06,0.27
464,Molson Coors Beverage Company,TAP,0.02%,51.68,-0.18,0.35
465,DaVita,DVA,0.02%,138.19,0.45,0.33
466,News Corp (Class A),NWSA,0.02%,27.71,-0.16,0.56
467,Moderna,MRNA,0.02%,26.98,0.86,3.3
468,Assurant,AIZ,0.02%,202.81,1.4,0.7
469,Stanley Black & Decker,SWK,0.02%,66.21,0.76,1.16
470,Campbell Soup Company,CPB,0.02%,34.22,0.1,0.28
471,Viatris,VTRS,0.02%,8.64,0.17,2.07
472,LKQ Corporation,LKQ,0.02%,39.22,0.25,0.63
473,Bunge Global,BG,0.02%,74.73,0.88,1.19
474,EPAM Systems,EPAM,0.02%,177.28,2.71,1.55
475,Globe Life,GL,0.02%,120.68,0.91,0.76
476,CarMax,KMX,0.02%,65.37,-0.03,0.04
477,Walgreens Boots Alliance,WBA,0.02%,11.26,0.01,0.04
478,Dayforce,DAY,0.02%,60.03,0.85,1.43
479,Hasbro,HAS,0.02%,66.43,1.24,1.91
480,A. O. Smith,AOS,0.02%,64.22,0.42,0.66
481,Eastman Chemical Company,EMN,0.02%,78.74,0.4,0.51
482,Henry Schein,HSIC,0.02%,71.17,0.7,1.0
483,Huntington Ingalls Industries,HII,0.02%,225.77,0.99,0.44
484,Wynn Resorts,WYNN,0.02%,83.76,0.52,0.62
485,Norwegian Cruise Line Holdings,NCLH,0.02%,19.52,0.17,0.9
486,MGM Resorts,MGM,0.02%,31.84,0.55,1.74
487,Interpublic Group of Companies (The),IPG,0.02%,22.98,0.32,1.39
488,MarketAxess,MKTX,0.02%,222.71,-3.42,1.51
489,Federal Realty Investment Trust,FRT,0.02%,95.12,0.65,0.69
490,Paramount Global,PARA,0.01%,11.94,0.04,0.29
491,Lamb Weston,LW,0.01%,55.78,0.54,0.98
492,Match Group,MTCH,0.01%,31.59,0.09,0.27
493,Bio-Techne,TECH,0.01%,49.22,0.91,1.88
494,AES Corporation,AES,0.01%,10.75,0.23,2.24
495,Generac,GNRC,0.01%,129.05,2.72,2.15
496,Charles River Laboratories,CRL,0.01%,145.2,4.0,2.83
497,Albemarle Corporation,ALB,0.01%,60.09,1.45,2.46
498,APA Corporation,APA,0.01%,18.63,0.77,4.34
499,Invesco,IVZ,0.01%,14.36,0.11,0.74
500,Mohawk Industries,MHK,0.01%,101.44,0.65,0.65
501,News Corp (Class B),NWS,0.01%,31.87,-0.32,1.01
502,Caesars Entertainment,CZR,0.01%,26.09,0.46,1.8
503,Enphase Energy,ENPH,0.01%,41.24,-0.06,0.15
