#,Company,Symbol,Weight,Price,Chg,% Chg
103,Welltower,WELL,0.19%,153.62,0.59,0.38
104,Altria,MO,0.19%,59.33,-0.06,0.1
105,American Tower,AMT,0.19%,212.91,-3.31,1.53
106,CME Group,CME,0.18%,274.38,-0.52,0.19
107,Bristol Myers Squibb,BMY,0.18%,48.35,0.5,1.06
108,Southern Company,SO,0.18%,87.92,-0.46,0.52
109,Trane Technologies,TT,0.18%,430.33,-0.49,0.11
110,Waste Management,WM,0.18%,236.94,-1.7,0.71
111,DoorDash,DASH,0.17%,218.66,2.81,1.3
112,HCA Healthcare,HCA,0.17%,384.16,2.66,0.7
113,Fiserv,FI,0.17%,166.65,1.27,0.76
114,"Nike, Inc.",NKE,0.17%,62.54,-0.13,0.21
115,Cintas,CTAS,0.17%,227.8,0.89,0.39
116,Constellation Energy,CEG,0.17%,290.83,0.95,0.33
117,Sherwin-Williams,SHW,0.17%,359.92,2.04,0.57
118,Duke Energy,DUK,0.17%,114.96,-0.78,0.67
119,Equinix,EQIX,0.17%,912.39,2.65,0.29
120,McKesson Corporation,MCK,0.16%,708.94,-2.67,0.37
121,Intel,INTC,0.16%,20.32,0.33,1.63
122,Moody's Corporation,MCO,0.16%,489.67,2.13,0.44
123,Elevance Health,ELV,0.16%,389.16,4.51,1.17
124,Airbnb,ABNB,0.16%,139.68,2.39,1.74
125,Parker Hannifin,PH,0.16%,671.35,9.38,1.42
126,Mondelez International,MDLZ,0.16%,66.09,-0.28,0.42
127,Arthur J. Gallagher & Co.,AJG,0.16%,328.23,0.13,0.04
128,United Parcel Service,UPS,0.15%,98.48,1.61,1.66
129,Cigna,CI,0.15%,309.82,-1.2,0.39
130,TransDigm Group,TDG,0.15%,1463.5,19.01,1.32
131,Cadence Design Systems,CDNS,0.15%,298.55,2.26,0.76
132,Aon,AON,0.15%,371.62,1.13,0.31
133,Fortinet,FTNT,0.15%,104.75,1.25,1.21
134,CVS Health,CVS,0.15%,63.21,0.13,0.2
135,Republic Services,RSG,0.15%,253.08,-0.09,0.03
136,O'Reilly Auto Parts,ORLY,0.15%,1382.47,10.67,0.78
137,3M,MMM,0.15%,146.32,0.06,0.04
138,Dell Technologies,DELL,0.15%,114.84,3.02,2.7
139,Apollo Global Management,APO,0.14%,133.05,2.76,2.12
140,Synopsys,SNPS,0.14%,488.34,6.14,1.27
141,Zoetis,ZTS,0.14%,170.14,1.53,0.91
142,Ecolab,ECL,0.14%,267.02,0.08,0.03
143,Royal Caribbean Group,RCL,0.14%,275.51,4.11,1.52
144,General Dynamics,GD,0.14%,276.03,1.61,0.59
145,Williams Companies,WMB,0.14%,60.28,-0.28,0.46
146,Colgate-Palmolive,CL,0.14%,90.47,0.32,0.35
147,Illinois Tool Works,ITW,0.14%,248.11,2.0,0.81
148,Marriott International,MAR,0.14%,265.3,5.49,2.11
149,PayPal,PYPL,0.13%,73.08,0.61,0.83
150,Chipotle Mexican Grill,CMG,0.13%,52.69,0.09,0.17
151,Howmet Aerospace,HWM,0.13%,175.36,0.35,0.2
152,PNC Financial Services,PNC,0.13%,177.64,2.94,1.69
153,Northrop Grumman,NOC,0.13%,488.04,-0.08,0.02
154,Motorola Solutions,MSI,0.13%,418.26,2.14,0.51
155,Emerson Electric,EMR,0.13%,123.86,1.36,1.11
156,U.S. Bancorp,USB,0.13%,44.56,0.88,2.0
157,Johnson Controls,JCI,0.13%,103.47,1.15,1.12
158,"Workday, Inc.",WDAY,0.13%,252.96,2.86,1.14
159,Coinbase Global,COIN,0.12%,252.74,8.54,3.5
160,BNY Mellon,BK,0.12%,89.9,1.32,1.49
161,Autodesk,ADSK,0.12%,298.99,0.76,0.26
162,EOG Resources,EOG,0.12%,114.14,3.11,2.8
163,Air Products,APD,0.12%,279.7,3.48,1.26
164,AutoZone,AZO,0.12%,3719.99,-5.26,0.14
165,Kinder Morgan,KMI,0.12%,27.99,-0.25,0.9
166,Axon Enterprise,AXON,0.12%,794.91,6.55,0.83
167,Monster Beverage,MNST,0.11%,63.39,0.39,0.62
168,Travelers Companies (The),TRV,0.11%,272.83,1.81,0.67
169,Roper Technologies,ROP,0.11%,573.65,4.16,0.73
170,Carrier Global,CARR,0.11%,71.24,-0.16,0.22
171,CSX Corporation,CSX,0.11%,32.26,0.52,1.62
172,Freeport-McMoRan,FCX,0.11%,41.77,0.08,0.18
173,Hilton Worldwide,HLT,0.11%,252.16,3.69,1.48
174,Digital Realty,DLR,0.11%,177.01,1.1,0.62
175,Newmont,NEM,0.11%,52.59,-1.92,3.52
176,Vistra Corp.,VST,0.11%,171.57,0.7,0.41
177,Paychex,PAYX,0.11%,159.86,0.55,0.34
178,Norfolk Southern Railway,NSC,0.10%,250.5,3.58,1.45
179,Aflac,AFL,0.10%,103.05,0.84,0.82
180,Cencora,COR,0.10%,286.36,-2.05,0.71
